CICLO,CP,LOJA,REGIONAL,UF,CANAL,SKU,PRODUTO,UN DO MATERIAL,CATEGORIA,SUB CATEGORIA,CAMPANHA,MARCA,COLABORE,VOLUME PEDIDO SUGESTÃO,VOLUME PEDIDO COLOCADO,GIRO (%),VOLUME PEDIDO FATURADO,LOCAL
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,53936,MAKE B PINCEL P/BASE FIBRAS DUPLAS ABS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,66.67%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,53936,MAKE B PINCEL P/BASE FIBRAS DUPLAS ABS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,0.00%,1,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,55984,"MAKE B BAT ST/PREN HYAL CAND TOF V3 3,4g",BOT,MAQUIAGEM,MAQUIAGEM BOCA,BOLETO TURBINADO BOT C13'26,MAKE B.,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,55984,"MAKE B BAT ST/PREN HYAL CAND TOF V3 3,4g",BOT,MAQUIAGEM,MAQUIAGEM BOCA,BOLETO TURBINADO BOT C13'26,MAKE B.,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,55984,"MAKE B BAT ST/PREN HYAL CAND TOF V3 3,4g",BOT,MAQUIAGEM,MAQUIAGEM BOCA,BOLETO TURBINADO BOT C13'26,MAKE B.,Não,3,3,0.00%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,55984,"MAKE B BAT ST/PREN HYAL CAND TOF V3 3,4g",BOT,MAQUIAGEM,MAQUIAGEM BOCA,BOLETO TURBINADO BOT C13'26,MAKE B.,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,55984,"MAKE B BAT ST/PREN HYAL CAND TOF V3 3,4g",BOT,MAQUIAGEM,MAQUIAGEM BOCA,BOLETO TURBINADO BOT C13'26,MAKE B.,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,55984,"MAKE B BAT ST/PREN HYAL CAND TOF V3 3,4g",BOT,MAQUIAGEM,MAQUIAGEM BOCA,BOLETO TURBINADO BOT C13'26,MAKE B.,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,56141,ESTJ LILY LEAU DE MAES/24,BOT,GIFTS,ESTOJO ED LIMITADA,DIAS DE PRESENTE_C13'26,ESSENCE,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,56141,ESTJ LILY LEAU DE MAES/24,BOT,GIFTS,ESTOJO ED LIMITADA,DIAS DE PRESENTE_C13'26,ESSENCE,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,56141,ESTJ LILY LEAU DE MAES/24,BOT,GIFTS,ESTOJO ED LIMITADA,DIAS DE PRESENTE_C13'26,ESSENCE,Não,3,0,0.00%,0,INTERIOR
