Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033878024;MAKE B BATOM PREENCH HYAL NUDE CHIC 4g;1,000;48,39;48,39;0,00;0,00;0,00;48,39;100,00;0,00;2,29;76,41;A;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033595167;REF NSPA LOC DES HID CPO AMEI/NEG 350ml;1,000;58,26;58,26;12,17;0,00;0,00;46,09;79,11;378,72;2,18;78,59;A;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033902477;ESTJ QUASAR BLUE PAIS/26;1,000;118,93;118,93;74,02;0,00;0,00;44,91;37,76;60,67;2,12;80,71;B;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033894840;NSPA TRIO SAB BARR BES SEL COLL 3x100g;1,000;60,49;60,49;16,91;0,00;0,00;43,58;72,04;257,72;2,06;82,77;B;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033524686;BOTIK GEL LIM FAC MIC AC MAN/SAL 50g PRM;2,000;35,88;17,94;0,00;0,00;0,00;35,88;100,00;0,00;1,70;84,47;B;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033552214;DR BOTICA COL POC/CRIATIV 120ml;1,000;73,69;73,69;38,19;0,00;0,00;35,50;48,17;92,96;1,68;86,14;B;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033539710;CBEM MASC CAP SCH FEIRA PASTA ABAC 30ml;3,000;33,72;11,24;0,00;0,00;0,00;33,72;100,00;0,00;1,59;87,74;B;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033598779;BOTIK CR MULTR FAC CIC/PANT/CER PRM 10g;1,000;33,84;33,84;4,90;0,00;0,00;28,94;85,52;590,61;1,37;89,10;B;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033850563;EGEO DES COL DOLCE ILLUSION PRM 10ml;2,000;35,80;17,90;8,06;0,00;0,00;27,74;77,49;344,17;1,31;90,41;B;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033479689;MATCH LEAVE IN 150ml;1,000;38,43;38,43;13,34;0,00;0,00;25,09;65,29;188,08;1,19;91,60;B;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033861668;MAKE B BALM LAB NIGHT MASK LIP/CHRON 9g;1,000;52,10;52,10;28,60;0,00;0,00;23,50;45,11;82,17;1,11;92,71;B;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033577538;MAKE B ESPNJ FAC SUPER BLEND PU;1,000;42,78;42,78;19,78;0,00;0,00;23,00;53,76;116,28;1,09;93,80;B;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033493791;MATCH ACIDIFICANTE 100ml;1,000;47,53;47,53;26,74;0,00;0,00;20,79;43,74;77,75;0,98;94,78;B;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033504480;INTENSE HID LAB BY CUID DEL ROS/NUD 62g;1,000;33,83;33,83;16,16;0,00;0,00;17,67;52,23;109,34;0,83;95,61;C;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033909544;GLAMOUR DES COL INTENSE PRM 10ml;1,000;17,02;17,02;0,00;0,00;0,00;17,02;100,00;0,00;0,80;96,42;C;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033533732;NSPA SHAMP AMEIXA DOURADA 300ml;1,000;24,65;24,65;9,35;0,00;0,00;15,30;62,07;163,64;0,72;97,14;C;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033511662;CBEM SAB BARRA ROSA/ALGODAO V8 2x80g;1,000;21,12;21,12;7,21;0,00;0,00;13,91;65,86;192,93;0,66;97,80;C;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033896639;CBEM SAB BARRA DELEITE ESPEC 2x90g;1,000;21,56;21,56;7,83;0,00;0,00;13,73;63,68;175,35;0,65;98,45;C;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033512263;CBEM SAB BARRA NUVEM V5 2x80g;1,000;21,54;21,54;8,38;0,00;0,00;13,16;61,10;157,04;0,62;99,07;C;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033521630;INTENSE BAT CREM 250 V7 38g;1,000;18,78;18,78;8,71;0,00;0,00;10,07;53,62;115,61;0,48;99,54;C;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033574773;SOPHIE NEXT DES ROLL DIVERT2 MEMR 55ml;1,000;17,94;17,94;11,41;0,00;0,00;6,53;36,40;57,23;0,31;99,85;C;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033492671;COFFEE CREM DES HID W/SEDUC 75ml;1,000;22,81;22,81;19,69;0,00;0,00;3,12;13,68;15,85;0,15;100,00;C;;
10/08/2026;024670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033512430;QUASAR DES COL CLASSIC 100ml;3,000;421,21;140,40;179,34;0,00;0,00;241,87;57,42;134,87;7,71;7,71;A;;
10/08/2026;024670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033882038;LILY CREM ACET DES HID CPO V9 250g;2,000;273,73;136,86;35,22;0,00;0,00;238,51;87,13;677,20;7,61;15,32;A;;
10/08/2026;024670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033909537;GLAMOUR DES COL INTENSE 75ml;2,000;314,02;157,01;76,86;0,00;0,00;237,16;75,52;308,56;7,56;22,89;A;;
10/08/2026;024670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033483617;BOTICOLL ANNI DES COL 200ml V2;1,000;211,38;211,38;44,76;0,00;0,00;166,62;78,82;372,25;5,31;28,20;A;;
